"Id","IsDeleted","CurrencyIsoCode","SBQQ__Rule__c","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Type__c","SBQQ__ValueField__c","SBQQ__ValueObject__c","SBQQ__ValueAttribute__c","SBQQ__ParentRuleIsActive__c"
"a0Z1N00000Eo4beUAB","false","USD","a0c1N00000MVcZjQAL",,,,"01t1N00000EURKuQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bEUAR","false","USD","a0c1N00000MVcZkQAL",,,,"01t1N00000EURLVQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bfUAB","false","USD","a0c1N00000MVcZmQAL",,,,"01t1N00000EURKzQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bFUAR","false","USD","a0c1N00000MVcZkQAL",,,,"01t1N00000EURKtQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bgUAB","false","USD","a0c1N00000MVcZmQAL",,,,"01t1N00000EURLTQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bGUAR","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURKrQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bhUAB","false","USD","a0c1N00000MVcZlQAL",,,,"01t1N00000EURLTQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bHUAR","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURMWQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4biUAB","false","USD","a0c1N00000MVcZlQAL",,,,"01t1N00000EURKuQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bIUAR","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURLIQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bjUAB","false","USD","a0c1N00000MVcZsQAL",,,,"01t1N00000EURKqQAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4bJUAR","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURKzQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bkUAB","false","USD","a0c1N00000MVcZsQAL",,,,"01t1N00000EURLfQAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4bKUAR","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURKuQAP","false","Remove",,,,"true"
